,label,text,comments,total_marks,pred_topic,pred_topic_idx,confidence,true_topic_idx
16,Question 17,"Consider the vectors and where If then A. −2, −1, −5 B. −1, 2, −1 C. 1, −2, −5 D. −2, −1, −1 E. 1, −2,",,1,Space and measurement: Vectors,6,0.43258709583824256,6
17,Question 18,What value of where will make the following planes perpendicular? ky kx A. B. C. D. E. 10,,1,Space and measurement: Vectors,6,0.21656827208124807,7
18,Question 19,"company accountant knows that the amount owed on any individual unpaid invoice is normally distributed with mean of $800 and standard deviation of $200. What is the probability, correct to three decimal places, that in random sample of 16 unpaid invoices the total amount owed is more than $13 500? A. 0.087 B. 0.191 C. 0.413 D. 0.587 E. 0.809",,1,"Data analysis, probability and statistics: Distribution of the sample mean",10,0.3035938991690655,9
19,Question 20,"The lifespan of certain electronic component is normally distributed with mean of hours and standard deviation of hours. Given that 99% confidence interval, based on random sample of 100 such components, is  500, 15 500), the value of is closest to A. 9710 B. 10 750 C. 12 750 D. 15 190 E. 19 390 ",,1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.304094753164021,11
20,Question 1a.,"Viewed from above, scenic walking track from point to point is shown below. Its shape is given by The minimum turning point of section OABC occurs at point Point is point of inflection and the curves meet at point , 0). Distances are measured in kilometres. 0.5Show that −1 and 0.", This question was answered well.,1,"Data analysis, probability and statistics: Distribution of the sample mean",10,0.02694756179837237,1
21,Question 1b.,"Viewed from above, scenic walking track from point to point is shown below. Its shape is given by The minimum turning point of section OABC occurs at point Point is point of inflection and the curves meet at point , 0). Distances are measured in kilometres. 0.5Verify that the two curves meet smoothly at point 11 ", Most students recognised that they needed to evaluate the derivative of both component functions at . Some students showed only that the functions met at the point without showing that they joined smoothly.,1,Calculus: Differential calculus and integral calculus,3,0.14430993325422325,3
22,Question 1c.i.,"Viewed from above, scenic walking track from point to point is shown below. Its shape is given by The minimum turning point of section OABC occurs at point Point is point of inflection and the curves meet at point , 0). Distances are measured in kilometres. 0.5Find the coordinates of point",,1,"Data analysis, probability and statistics: Distribution of the sample mean",10,0.07682605954150495,3
23,Question 1c.ii.,"Viewed from above, scenic walking track from point to point is shown below. Its shape is given by The minimum turning point of section OABC occurs at point Point is point of inflection and the curves meet at point , 0). Distances are measured in kilometres. 0.5Find the coordinates of point The return track from point to point follows an elliptical path given by 2cos( 2, 2)sin( ), where",,1,"Data analysis, probability and statistics: Distribution of the sample mean",10,0.08004382684749063,3
24,Question 1d.,"Viewed from above, scenic walking track from point to point is shown below. Its shape is given by The minimum turning point of section OABC occurs at point Point is point of inflection and the curves meet at point , 0). Distances are measured in kilometres. 0.5Find the Cartesian equation of the elliptical path.", This was generally well done. A small proportion of students (correctly) expressed explicitly as a function of  in the first quadrant.,1,Space and measurement: Vector calculus,8,0.07650316874628366,7
25,Question 1e.,"Viewed from above, scenic walking track from point to point is shown below. Its shape is given by The minimum turning point of section OABC occurs at point Point is point of inflection and the curves meet at point , 0). Distances are measured in kilometres. 0.5Sketch the elliptical path from to on the diagram on page 10."," The quarter ellipse was often sketched without sufficient accuracy. While the curves drawn mostly connected point D to the origin, the quarter ellipse curves were often not vertical at the origin and horizontal at D.",1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.06006880067737481,8
26,Question 1f.i.,"Viewed from above, scenic walking track from point to point is shown below. Its shape is given by The minimum turning point of section OABC occurs at point Point is point of inflection and the curves meet at point , 0). Distances are measured in kilometres. 0.5Write down definite integral in terms of that gives the length of the elliptical path from to", The most frequent error was to use terminals 0 and 2. A variety of correct equivalent forms of the integrand were seen.,1,Calculus: Differential calculus and integral calculus,3,0.031538027243157435,3
27,Question 1f.ii.,"Viewed from above, scenic walking track from point to point is shown below. Its shape is given by The minimum turning point of section OABC occurs at point Point is point of inflection and the curves meet at point , 0). Distances are measured in kilometres. 0.5Find the length of the elliptical path from to Give your answer in kilometres correct to three decimal places. 12", Most students who answered Question 1fi. correctly were successful here.,1,"Data analysis, probability and statistics: Distribution of the sample mean",10,0.040571672560273574,3
28,Question 2a.,Let cisVerify that is root of 0.,,1,"Algebra, number and structure: Complex numbers",2,0.1638662305962032,2
29,Question 2b.,Let cisList the other roots of in polar form.," , , , , , Most students were able to give at least some of the required solutions. Omitting  was a common error. A range of equivalent polar forms were seen and accepted.",1,"Algebra, number and structure: Complex numbers",2,0.2331645358893466,2
30,Question 2c.,"Let cisOn the Argand diagram below, plot and label the points that represent all the roots of 0. −1 −1 Im( Re( 13 ", The majority of students were aware that the roots of unity are evenly spaced around the unit circle. Those who answered Question 2b. correctly were usually able to do well here. Some students failed to recognise that the sectors shown had angles of  and incorrectly estimated the required locations.,1,"Algebra, number and structure: Complex numbers",2,0.028657930528758976,2
31,Question 2d.i.,"Let cisOn the Argand diagram below, sketch the ray that originates at the real root of and passes through the point represented by cis −1 −1 Im( Re(",,1,"Data analysis, probability and statistics: Distribution of linear combinations of random variables",9,0.03813561122679448,2
32,Question 2d.ii.,Let cisFind the equation of this ray in the form Arg( where and is measured in radians in terms of π 14," While many students correctly identified that , finding the correct angle was a challenge for most. A common incorrect angle was .",1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.047380674561077314,2
33,Question 2e.,Let cisVerify that the equation can be expressed in the form 1)( 1) 0.," Expanding: Most students expanded the brackets to attempt to show the resulting expression simplified to . A significant proportion of students attempted polynomial long division. While some were successful, many did not see the process through to completion.",1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.1879617606097376,2
34,Question 2f.i.,"Let cisExpress cis cis 12 in the form cos π ), where"," There were a range of approaches to this question. Most successful students correctly applied prior work, recognising equivalent trigonometric expressions. Students who appeared to use technology were sometimes unsuccessful in converting  to a cosine equivalent.",1,Calculus: Differential calculus and integral calculus,3,0.09866570219065915,2
35,Question 2f.ii.,"Let cisGiven that cis satisfies 1)( 1) 0, use De Moivre’s theorem to show that cos cos cos 15 ", This question was not well done. Many students were able to express the given equation in terms of powers of w but most students did not ‘show that’ the required result arose through a series of logical steps.,1,"Algebra, number and structure: Complex numbers",2,0.3383629092480834,2
36,Question 3a.i.,"The curve given by 1, where 5, is rotated about the -axis to form solid of revolution.Write down the definite integral, in terms of for the volume of this solid of revolution.", Some students incorrectly applied a formula for surface area.,1,Calculus: Differential calculus and integral calculus,3,0.12053498117689607,3
37,Question 3a.ii.,"The curve given by 1, where 5, is rotated about the -axis to form solid of revolution.Find the volume of the solid of revolution."," Some students did not include  in their answer, despite it being present in their integral expression in Question 3ai.",1,Calculus: Differential calculus and integral calculus,3,0.058947570641808014,3
38,Question 3b.i.,"The curve given by 1, where 5, is rotated about the -axis to form solid of revolution.Express the curved surface area of the solid in the form Ax dx where A, are all positive integers."," This was quite well done. Of those students who set up the integral correctly, most obtained the correct form.",1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.052167695164803456,3
39,Question 3b.ii.,"The curve given by 1, where 5, is rotated about the -axis to form solid of revolution.Hence or otherwise, find the curved surface area of the solid correct to three decimal places. The total surface area of the solid consists of the curved surface area plus the areas of the two circular discs at each end. The ‘efficiency ratio’ of body is defined as its total surface area divided by the enclosed volume.", Incorrect rounding to was a frequent final response. Students are reminded to set their calculators to display sufficient decimal places.,1,Calculus: Differential calculus and integral calculus,3,0.049849587516180044,3
40,Question 3c.,"The curve given by 1, where 5, is rotated about the -axis to form solid of revolution.Find the efficiency ratio of the solid of revolution correct to two decimal places. 16"," Many students found the curved surface area only and did not include one or both ends. Of those who included two ends, errors with an incorrect radius were frequent.",1,Space and measurement: Vector and Cartesian equations,7,0.03460544570807628,3
41,Question 3d.,"The curve given by 1, where 5, is rotated about the -axis to form solid of revolution.Another solid of revolution is formed by rotating the curve given by about the -axis for where This solid has volume of 24 π Find the efficiency ratio for this solid, giving your answer correct to two decimal places. 17 "," Most students were successful in obtaining a value for . Omission of the ends of the solid, and ends with incorrect radii, were the most frequent errors. Some errors in the final value appeared to be due to a lack of brackets when entering expressions into a calculator.",1,Calculus: Differential calculus and integral calculus,3,0.03652638801969478,3
42,Question 4a.,"fish farmer releases 200 fish into pond that originally contained no fish. The fish population, grows according to the logistic model, dP dt 1000 where is the time in years after the release of the 200 fish.The above logistic differential equation can be expressed as dP dt 1000 where Find the values of and One form of the solution for is De 1000 where is real constant.",,1,Calculus: Differential equations,4,0.10123201517988387,4
43,Question 4b.,"fish farmer releases 200 fish into pond that originally contained no fish. The fish population, grows according to the logistic model, dP dt 1000 where is the time in years after the release of the 200 fish.Find the value of The farmer releases batch of fish into second pond, pond 2, which originally contained no fish. The population, of fish in pond can be modelled by 1000 1. where is the time in years after the fish are released.",,1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.1609397550666066,4
44,Question 4c.,"fish farmer releases 200 fish into pond that originally contained no fish. The fish population, grows according to the logistic model, dP dt 1000 where is the time in years after the release of the 200 fish.Find the value of",,1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.2041911570595811,4
45,Question 4d.,"fish farmer releases 200 fish into pond that originally contained no fish. The fish population, grows according to the logistic model, dP dt 1000 where is the time in years after the release of the 200 fish.Find the value of when 6. Give your answer correct to the nearest integer. 18",,1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.21656430929703874,4
46,Question 4e.i.,"fish farmer releases 200 fish into pond that originally contained no fish. The fish population, grows according to the logistic model, dP dt 1000 where is the time in years after the release of the 200 fish.Given that dQ dt 11 10 1000 express dt in terms of", A variety of correct equivalent forms were seen. A common error involved not recognising the need to use the chain rule when differentiating  with respect to . Some students did not express their answers in terms of .,1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.07413141765524336,4
47,Question 4e.ii.,"fish farmer releases 200 fish into pond that originally contained no fish. The fish population, grows according to the logistic model, dP dt 1000 where is the time in years after the release of the 200 fish.Hence or otherwise, find the size of the fish population in pond and the value of when the rate of growth of the population is maximum. Give your answer for correct to the nearest year. 19 ", Most students correctly eliminated  to give the correct answer. Some students gave the maximum rate as their final answer.,1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.1306654709687932,4
48,Question 4f.,"fish farmer releases 200 fish into pond that originally contained no fish. The fish population, grows according to the logistic model, dP dt 1000 where is the time in years after the release of the 200 fish.Sketch the graph of versus on the set of axes below. Label any axis intercepts and any asymptotes with their equations. 1000 800 600 400 200 The farmer wishes to take 5.5% of the fish from pond each year. The modified logistic differential equation that would model the fish population, Q, in pond after years in this situation is dQ dt 11 10 10 055 00", Many students incorrectly labelled the asymptote with the equation  and some students did not follow the instruction to label the Q-intercept with its coordinate. Most students sketched the shape of the logistic curve well.,1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.049194265669208016,1
49,Question 4g.,"fish farmer releases 200 fish into pond that originally contained no fish. The fish population, grows according to the logistic model, dP dt 1000 where is the time in years after the release of the 200 fish.Find the maximum number of fish that could be supported in pond in this situation. 20",,1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.17263719558853644,4
50,Question 5a.,"The points with coordinates , 1, 2), , 2, 3) and , 2, 4) all lie in plane Π.Find the vectors AB and AC and hence show that the area of triangle ABC is 1.5 square units."," Most students successfully obtained the required vectors. Not all of those students were able to ‘show that’ the required area was 1.5 square units. Subsequent to finding the vectors, a variety of correct alternative approaches were used.",1,Space and measurement: Vectors,6,0.16907193694650227,6
51,Question 5b.,"The points with coordinates , 1, 2), , 2, 3) and , 2, 4) all lie in plane Π.Find the shortest distance from point to the line segment AC second plane, ψ, has the Cartesian equation −18.", A wide variety of valid approaches were applied by successful students.,1,Space and measurement: Vector and Cartesian equations,7,0.18374636722583754,6
52,Question 5c.,"The points with coordinates , 1, 2), , 2, 3) and , 2, 4) all lie in plane Π.At what acute angle does the line given by intersect the plane Give your answer in degrees correct to the nearest degree. line passes through the origin and is normal to the plane The line intersects at point", A significant number of students did not proceed beyond finding the angle of .,1,Space and measurement: Vector and Cartesian equations,7,0.07826915641846213,7
53,Question 5d.,"The points with coordinates , 1, 2), , 2, 3) and , 2, 4) all lie in plane Π.Write down an equation of the line in parametric form.", was also accepted.,1,Space and measurement: Vector and Cartesian equations,7,0.2538983776533474,7
54,Question 5e.,"The points with coordinates , 1, 2), , 2, 3) and , 2, 4) all lie in plane Π.Find the shortest distance from the origin to the plane 21 "," Many students who did not initially use absolute values, inappropriately dealt with inconvenient negative values, with working such as ‘’.",1,Space and measurement: Vector calculus,8,0.0,7
55,Question 5f.,"The points with coordinates , 1, 2), , 2, 3) and , 2, 4) all lie in plane Π.Find the coordinates of point 22", Most students recognised that the use of the parametric form from Question 5d. was an efficient approach. Some other approaches were seen but these were generally less successful.,1,Space and measurement: Vector and Cartesian equations,7,0.003382938744744758,7
56,Question 6a.,forest ranger wishes to investigate the mass of adult male koalas in Victorian forest. random sample of 20 such koalas has sample mean of 11.39 kg. It is known that the mass of adult male koalas in the forest is normally distributed with standard deviation of kg.Find 95% confidence interval for the population mean (the mean mass of all adult male koalas in the forest). Give your values correct to two decimal places.," This routine question was handled well. Many students recognised that the confidence interval should be expressed with brackets in the form (a, b).",1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.3891632276806449,11
57,Question 6b.,forest ranger wishes to investigate the mass of adult male koalas in Victorian forest. random sample of 20 such koalas has sample mean of 11.39 kg. It is known that the mass of adult male koalas in the forest is normally distributed with standard deviation of kg.Sixty such random samples are taken and their confidence intervals are calculated. In how many of these confidence intervals would the actual mean mass of all adult male koalas in the forest be expected to lie? The ranger wants to decrease the width of the 95% confidence interval by 60% to get better estimate of the population mean.,,1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,0.33962553813721397,11
58,Question 6c.,forest ranger wishes to investigate the mass of adult male koalas in Victorian forest. random sample of 20 such koalas has sample mean of 11.39 kg. It is known that the mass of adult male koalas in the forest is normally distributed with standard deviation of kg.How many adult male koalas should be sampled to achieve this? It is thought that the mean mass of adult male koalas in the forest is 12 kg. The ranger thinks that the true mean mass is less than this and decides to apply one-tailed statistical test. random sample of 40 adult male koalas is taken and the sample mean is found to be 11.6 kg., This question was challenging for students.,1,"Data analysis, probability and statistics: Distribution of the sample mean",10,0.3220520715269654,11
59,Question 6d.,"forest ranger wishes to investigate the mass of adult male koalas in Victorian forest. random sample of 20 such koalas has sample mean of 11.39 kg. It is known that the mass of adult male koalas in the forest is normally distributed with standard deviation of kg.Write down the null hypothesis, and the alternative hypothesis, for the test. 23 The ranger decides to apply the one-tailed test at the 1% level of significance and assumes the mass of adult male koalas in the forest is normally distributed with mean of 12 kg and standard deviation of kg.", Students were generally successful with this question. Incorrect responses such as ‘’ were occasionally seen.,1,"Data analysis, probability and statistics: Hypothesis testing for a population mean with a sample drawn from a normal distribution of known variance, or for a large sample",12,0.21658337022804505,12
60,Question 6e.i.,forest ranger wishes to investigate the mass of adult male koalas in Victorian forest. random sample of 20 such koalas has sample mean of 11.39 kg. It is known that the mass of adult male koalas in the forest is normally distributed with standard deviation of kg.Find the value for the test correct to four decimal places.,,1,"Data analysis, probability and statistics: Distribution of the sample mean",10,0.31142405147207014,12
61,Question 6e.ii.,"forest ranger wishes to investigate the mass of adult male koalas in Victorian forest. random sample of 20 such koalas has sample mean of 11.39 kg. It is known that the mass of adult male koalas in the forest is normally distributed with standard deviation of kg.Draw conclusion about the null hypothesis in part d. from the value found above, giving reason for your conclusion.", . Some students stated a correct conclusion but did not give a reason by referencing the p value.,1,"Data analysis, probability and statistics: Distribution of the sample mean",10,0.28872957700259844,12
62,Question 6f.,"forest ranger wishes to investigate the mass of adult male koalas in Victorian forest. random sample of 20 such koalas has sample mean of 11.39 kg. It is known that the mass of adult male koalas in the forest is normally distributed with standard deviation of kg.What is the critical sample mean (the smallest sample mean for not to be rejected) in this test? Give your answer in kilograms correct to three decimal places. Suppose that the true mean mass of adult male koalas in the forest is 11.4 kg, and the standard deviation is kg. The level of significance of the test is still 1%.", was also accepted).,1,"Data analysis, probability and statistics: Distribution of the sample mean",10,0.3311635401099799,12
63,Question 6g.,"forest ranger wishes to investigate the mass of adult male koalas in Victorian forest. random sample of 20 such koalas has sample mean of 11.39 kg. It is known that the mass of adult male koalas in the forest is normally distributed with standard deviation of kg.What is the probability, correct to three decimal places, of the ranger making type II error in the statistical test?", was also accepted.,1,"Data analysis, probability and statistics: Distribution of the sample mean",10,0.25620857736896013,12
64,Question 6h.,forest ranger wishes to investigate the mass of adult male koalas in Victorian forest. random sample of 20 such koalas has sample mean of 11.39 kg. It is known that the mass of adult male koalas in the forest is normally distributed with standard deviation of kg.The frequency curves for the sampling distributions associated with and are shown below. Label the critical sample mean on the diagram and shade the region that represents the type II error.," Following the identification of an error in the question stimuli, this question was invalidated.",1,"Data analysis, probability and statistics: Distribution of the sample mean",10,0.2818474748083963,10
